,hmid,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,age,country,gender,marital,parenthood
88675,116835,799,24h,Sold items on eBay that I've wanted to get rid of ,Sold items on eBay that I've wanted to get rid of ,True,1,,achievement,24.0,USA,f,single,n
1232,28908,1910,24h,I picked up a new phone this afternoon with an Android operating system instead of the terrible Windows phone I have been using. ,I picked up a new phone this afternoon with an Android operating system instead of the terrible Windows phone I have been using. ,True,1,achievement,achievement,50.0,USA,m,divorced,y
910,28583,13486,24h,"My baby woke up silly and happy and I  felt happy and refreshed from a fairly good night sleep and enjoyed his silliness.
","My baby woke up silly and happy and I  felt happy and refreshed from a fairly good night sleep and enjoyed his silliness.
",True,1,affection,affection,27.0,USA,f,married,y
83980,112109,1239,24h,I ate some ice cream while watching cartoons.,I ate some ice cream while watching cartoons.,True,1,,enjoy_the_moment,22.0,USA,f,single,n
98677,126894,13127,24h,I got out of work today to my boyfriend with a date night surprise.,I got out of work today to my boyfriend with a date night surprise.,True,1,,affection,23.0,USA,f,single,n
25592,53404,367,24h,I sold an item from my business online and made a profit of ~US$7.00,I sold an item from my business online and made a profit of ~US$7.00,True,1,,achievement,21.0,USA,m,single,n
92483,120671,11383,24h,When my husband brought home dinner.,When my husband brought home dinner.,True,1,,affection,24.0,USA,f,married,y
28005,55832,4114,24h,Purchased a new game,Purchased a new game,True,1,,achievement,20.0,USA,m,single,n
21509,49297,766,24h,Went to an employer this morning for an application and got interviewed and hired on the spot. I start at 8am tomorrow.,Went to an employer this morning for an application and got interviewed and hired on the spot. I start at 8am tomorrow.,True,2,achievement,achievement,21.0,USA,m,single,n
85431,113567,1333,24h,I tried out a new recipe for dinner and it was very good. ,I tried out a new recipe for dinner and it was very good. ,True,1,,achievement,28.0,USA,f,married,y
3749,31447,7184,24h,I smoked some ribs.,I smoked some ribs.,True,1,,enjoy_the_moment,38.0,USA,m,married,y
6124,33844,1645,24h,My kids laughing and playing made me happy in the last twenty four hours.,My kids laughing and playing made me happy in the last twenty four hours.,True,1,,affection,43.0,USA,f,married,y
27914,55741,5233,24h,"I got a hug from a friend, and they told me how much I mean to them.","I got a hug from a friend, and they told me how much I mean to them.",True,1,,bonding,19.0,USA,f,single,n
15876,43645,1980,24h,My first event was that I received a scheduled sum of money that arrived on time and without any issues. ,My first event was that I received a scheduled sum of money that arrived on time and without any issues. ,True,1,,achievement,43.0,USA,f,divorced,y
25343,53154,1380,24h,I received a Virtual Reality pair of glasses that I won on an app and had fun using it. ,I received a Virtual Reality pair of glasses that I won on an app and had fun using it. ,True,1,,achievement,43.0,USA,m,married,y
88778,116938,2219,24h,"I was able to go to the gym and get a good workout, it made me have better self esteem.","I was able to go to the gym and get a good workout, it made me have better self esteem.",True,1,,exercise,18.0,USA,m,single,n
12837,40588,2857,24h,Today I had a moment when I found myself intensely focused on the fact that spring break starts tomorrow; I have been absolutely giddy all ever since.,Today I had a moment when I found myself intensely focused on the fact that spring break starts tomorrow; I have been absolutely giddy all ever since.,True,1,,achievement,58.0,USA,f,single,y
24941,52748,343,24h,I took my son to his Cub Scout meeting and saw him learn how to tie knots.,I took my son to his Cub Scout meeting and saw him learn how to tie knots.,True,1,,affection,38.0,USA,m,married,y
3170,30864,2867,24h,I found a twenty dollar bill on the floor at the laundry mat...the place was empty except for me and the attendant. Finders keepers.,I found a twenty dollar bill on the floor at the laundry mat...the place was empty except for me and the attendant. Finders keepers.,True,2,,enjoy_the_moment,28.0,USA,f,single,n
87414,115569,649,24h,I made some plans for holiday weekend with family.,I made some plans for holiday weekend with family.,True,1,affection,affection,31.0,USA,m,single,n
19348,47130,11249,24h,"I had totally thought the rest of the bacon in the fridge had gone bad and resigned to using only chorizo in the breakfast hash I was going to make, but it turned out that we caught it just in time and I was able to use the last of the bacon, happy that it both didn't go to waste and was able to be used to make the food better.","I had totally thought the rest of the bacon in the fridge had gone bad and resigned to using only chorizo in the breakfast hash I was going to make, but it turned out that we caught it just in time and I was able to use the last of the bacon, happy that it both didn't go to waste and was able to be used to make the food better.",True,1,,enjoy_the_moment,27.0,USA,m,married,n
20348,48133,5957,24h,I went to the grocery store which is my absolute favorite errand to run; I love finding sales and seeing new products.,I went to the grocery store which is my absolute favorite errand to run; I love finding sales and seeing new products.,True,1,leisure,leisure,26.0,USA,f,married,n
83336,111461,1407,24h,Saved a guitar to my wish list on Amazon,Saved a guitar to my wish list on Amazon,True,1,,achievement,31.0,USA,m,single,n
81949,110064,8559,24h,"My boyfriend came inside from mowing the lawn, knew I had had a bad day, and gave me a back rub just because.","My boyfriend came inside from mowing the lawn, knew I had had a bad day, and gave me a back rub just because.",True,1,,affection,27.0,USA,f,single,n
1151,28827,2105,24h,My cat laid in my lap and purred.,My cat laid in my lap and purred.,True,1,,affection,27.0,USA,m,married,n
92636,120824,4951,24h,My pug was being exceptionally goofy this morning and made me laugh while I was getting ready for work.,My pug was being exceptionally goofy this morning and made me laugh while I was getting ready for work.,True,1,,achievement,37.0,USA,f,single,n
94185,122382,203,24h,Reading a book I recently checked out at the library.,Reading a book I recently checked out at the library.,True,1,,leisure,26.0,USA,m,single,n
88044,116203,109,24h,I went to the dentist and had my teeth cleaned.,I went to the dentist and had my teeth cleaned.,True,1,,achievement,65.0,USA,m,married,y
28705,56538,194,24h,I managed to fix my lighting in the bedroom.,I managed to fix my lighting in the bedroom.,True,1,,achievement,26.0,USA,f,single,n
6141,33861,15,24h,Last night my sister's daughter birthday party and its a happy event for me.,Last night my sister's daughter birthday party and its a happy event for me.,True,1,,affection,27.0,USA,m,married,y
9115,36847,1415,24h,I got surprised by a friend who brought me lunch. I had been alittle down so it cheered me up.,I got surprised by a friend who brought me lunch. I had been little down so it cheered me up.,False,2,,bonding,31.0,USA,m,single,n
81835,109949,331,24h,Just last night when I least expected it my husband surprised me with an upcoming trip to Vermont.,Just last night when I least expected it my husband surprised me with an upcoming trip to Vermont.,True,1,affection,affection,61.0,USA,f,married,n
15169,42934,1374,24h,"I finished editing a huge project; doing the project under the deadline of leaving for my parents sucked, but sending the email with the document attached was awesome.","I finished editing a huge project; doing the project under the deadline of leaving for my parents sucked, but sending the email with the document attached was awesome.",True,1,achievement,achievement,36.0,USA,m,married,y
29778,57619,1544,24h,I ate chipotle and it was really good. ,I ate chipotle and it was really good. ,True,1,,enjoy_the_moment,21.0,USA,f,single,n
14728,42493,678,24h,Laying in bed this morning just casually browsing the internet on my phone since it was Sunday and no work.,Laying in bed this morning just casually browsing the internet on my phone since it was Sunday and no work.,True,1,leisure,leisure,28.0,USA,m,single,n
81289,109400,1146,24h,I watched an episode of a TV show I like.,I watched an episode of a TV show I like.,True,1,leisure,leisure,24.0,USA,m,single,n
23120,50919,441,24h,I went on a very long walk with my dogs in the pleasant sun.,I went on a very long walk with my dogs in the pleasant sun.,True,1,affection,affection,29.0,USA,f,married,n
21699,49487,2549,24h,I got to talk to an old friend.,I got to talk to an old friend.,True,1,,bonding,23.0,USA,f,single,n
16934,44706,7309,24h,My husband peeled and brought me an orange out of the blue.,My husband peeled and brought me an orange out of the blue.,True,1,affection,affection,33.0,USA,f,married,y
7380,35107,2894,24h,"In class yesterday, a group of seniors started reminiscing about the fun we had in Freshman English class.","In class yesterday, a group of seniors started reminiscing about the fun we had in Freshman English class.",True,1,,achievement,46.0,USA,f,single,n
28657,56489,84,24h,Took my daughter to the mall and she was not fussy one bit and stayed awake the whole time.,Took my daughter to the mall and she was not fussy one bit and stayed awake the whole time.,True,1,,affection,32.0,USA,m,married,y
6570,34290,604,24h,"Yesterday I made the decision to work only a half day at work today (Friday), so it will be a short work day and I get to spend time with my wife and daughter.","Yesterday I made the decision to work only a half day at work today (Friday), so it will be a short work day and I get to spend time with my wife and daughter.",True,1,,affection,26.0,USA,m,married,y
84498,112629,273,24h,I finished painting my kitchen ceilings. I painted the walls brown the other day and then painted the slanted ceiling an off white. It came out nice.,I finished painting my kitchen ceilings. I painted the walls brown the other day and then painted the slanted ceiling an off white. It came out nice.,True,3,,achievement,46.0,USA,f,widowed,n
98526,126743,5894,24h,When I went out to eat dinner with my girlfriend.,When I went out to eat dinner with my girlfriend.,True,1,,affection,31.0,USA,m,single,n
21993,49785,1324,24h,My hair is having a great day...makes me feel good.,My hair is having a great day...makes me feel good.,True,1,,enjoy_the_moment,48.0,USA,f,divorced,y
14732,42497,625,24h,I took a nap with my cat.,I took a nap with my cat.,True,1,,affection,41.0,USA,f,married,y
89414,117579,8780,24h,"I watched a soccer match a couple of hours ago, and the team I was rooting for won the Europa League (Manchester United)","I watched a soccer match a couple of hours ago, and the team I was rooting for won the Europa League (Manchester United)",True,1,,leisure,33.0,USA,m,married,y
3219,30913,3455,24h,Finishing up work after a long and grinding day of court.,Finishing up work after a long and grinding day of court.,True,1,achievement,achievement,39.0,USA,m,married,y
26656,54473,10269,24h,Today I was able to leave work early.,Today I was able to leave work early.,True,1,,achievement,30.0,USA,f,single,n
24165,51971,170,24h,I figured out where I'm going to live.,I figured out where I'm going to live.,True,1,,leisure,68.0,USA,f,separated,y
86046,114188,281,24h,"I went grocery shopping on my break at work, so I had a very nice dinner. ","I went grocery shopping on my break at work, so I had a very nice dinner. ",True,1,,enjoy_the_moment,25.0,USA,m,single,n
2818,30508,8439,24h,I had a good performance review with my manager.,I had a good performance review with my manager.,True,1,,achievement,36.0,USA,f,married,y
100420,128652,1691,24h,I saw a nice lady wearing a blue dress.,I saw a nice lady wearing a blue dress.,True,1,,enjoy_the_moment,22.0,USA,m,single,n
28706,56539,5181,24h,I don't have much to do this weekend,I don't have much to do this weekend,True,1,,enjoy_the_moment,27.0,USA,f,married,n
2922,30612,5065,24h,I was skyping with my friend and she had her baby son on cam and he was smiling and laughing.,I was skyping with my friend and she had her baby son on cam and he was smiling and laughing.,True,1,,affection,30.0,USA,m,single,n
86222,114366,31,24h,My cat meowed and wanted attention so I pet him.,My cat meowed and wanted attention so I pet him.,True,1,,affection,31.0,USA,f,married,n
8527,36259,879,24h,I worked on a landscaping plan for my yard.,I worked on a landscaping plan for my yard.,True,1,,achievement,58.0,USA,f,divorced,y
12406,40156,2149,24h,"I was happy this morning when I drove to the grocery store, the weather and scenery were beautiful and a good song played. ","I was happy this morning when I drove to the grocery store, the weather and scenery were beautiful and a good song played. ",True,1,,enjoy_the_moment,33.0,USA,f,married,n
10250,37987,3048,24h,I volunteered at a Special Olympics event and it made me happy to feel like I was helping others.,I volunteered at a Special Olympics event and it made me happy to feel like I was helping others.,True,1,,achievement,32.0,USA,f,single,n
21886,49677,67,24h,A friend invited me to attend the Tigers' home opener on Friday which would be a real treat. ,A friend invited me to attend the Tigers' home opener on Friday which would be a real treat. ,True,1,,bonding,44.0,USA,m,married,y
